year,name,id,delegates,percent_of_delegates,popular_vote,did_dropout,Order,weighted_page_rank_jan,page_rank_jan,donor_funds_jan,PAC_funds_jan,total_funds_jan,closeness_centrality_jan,page_rank_feb,donor_funds_feb,PAC_funds_feb,total_funds_feb,closeness_centrality_feb,page_rank_mar,donor_funds_mar,PAC_funds_mar,total_funds_mar,total_funds_mar-jan,closeness_centrality_marweighted_page_rank_jan,pacs_contributing_jan,direct_individual_donors_jan,all_individual_donors_jan,pac_n_clique_overlap_jan,all_n_clique_overlap_jan,pacs_in_community_jan
,,,,,,,,,,,,5.55,0,14631345,0.0189592,0.139578453,,,,,,,,,,,,,,
,,,,,,,,,,,,1.39,0,13579186,0.00238312,0.129541186,,,,,,,,,,,,,,
,,,,,,,,,,,,0.28,0,62141824,0.00683087,0.592813557,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Lyndon LaRouche,C00364091,0,0,1.91,1,NA,3.71E-07,0,0,0,,1,1399022,0.000250351,0.013346232,,3.28E-07,0,0,0,0.236588NA,,0,0,0,0,0,0,
2008,Alan Keyes,C00452532,2,0.000920387,0,1,NA,2.22E-07,0,0,0,,0,328867878,1.29E-02,1,New One,1.81E-07,0,0,0,1NA,,0,0,0,0,0,0,
,,,,,,,,,,,,,0,75733744,0.00870395,1,New One,,,,,,,,,,,,,
,,,,,,,,,,,,,1,22694793,0.00177323,0.299665536,,0.000887615,1407258,,,,,,,,,,,
,,,,,,,,,,,,,0,39744304,0.00233223,0.524789901,,0.010156,30735836,,,,,,,,,,,
,,,,,,,,,,,,,0,18331015,3.78E-03,0.24204554,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,9602018,0.000550718,0.126786522,,0.00375703,1690116,,,,,,,,,,,
,,,,,,,,,,,,,1,23883069,0.00233716,0.315355715,,0.000123216,1005,,,,,,,,,,,
,,,,,,,,,,,,,1,2986516,0.00038714,0.039434416,,0.00114818,2373286,,,,,,,,,,,
,,,,,,,,,,,,,1,55642,1.12E-05,0.000734706,,0.00133557,40845163,,,,,,,,,,,
,,,,,,,,,,,,,1,8249686,0.00181468,0.108930122,,0.00223285,5148957,,,,,,,,,,,
,,,,,,,,,,,,,1,442804,7.33E-05,0.005846852,,0.000917647,1969354,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.000854823,3556455,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.000402916,351758,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.002921,24221849,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.00669328,26669517,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.00237141,14099541,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,8.29E-05,15165,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.000154236,792473,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.0028097,16041282,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.0027401,13566525,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.00444453,2640765,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.0159967,126172728,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.0139912,151332200,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.00260807,37437673,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.000346296,1324684,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.00264085,20990503,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.00104237,12549221,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,4.73E-05,227197,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.00155824,17730480,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.00648521,52689355,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.0076917,104677441,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.0015842,9766196,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.000503873,316672,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.00233741,13530371,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.00683866,62087338,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.00025328,1399022,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,4.05E-05,55680867,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.00341219,504925,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.000295351,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.000403802,74295,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3.98E-05,1000500,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.00024545,3625463,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.00168032,236482,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.000215176,2007950,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5.01E-05,24900,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.000145135,917982,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2.71E-05,0,,,,,,,,,,,
