year,party,name,id,delegates,percent_of_delegates,popular_vote,weighted_page_rank,pacs_contributing,direct_individual_donors,all_individual_donors,pac_n_clique_overlap,all_n_clique_overlap,community_size,pacs_in_community
1992,r,George H.W. Bush,C00273516,2163,0.991746905089,72.84,0.00274831666248,15,0,913,0.0011,0.0022,33888,1988
1992,r,Pat Buchanan,C00361352,18,0.00825309491059,22.96,1.4671387995e-05,5,0,496,0.0011,0.0022,3382,96
1992,r,David Duke,C00256735,0,0.0,0.94,0.000132442041737,1,2,47,0.0,0.0,75,4
1992,r,Ross Perot,C00321778,0,0.0,0.44,NA,0,0,0,0.0,0.0,0,0
1992,r,Marice Horton,C00208108,0,0.0,0.08,NA,0,0,0,0.0,0.0,0,0
1992,r,Harold Stassen,C00108639,0,0.0,0.06,NA,0,0,0,0.0,0.0,0,0
1996,d,Bill Clinton,C00321414,NA,NA,88.98,4.03268255797e-05,24,0,5881,0.0,0.0,4055,65
1996,d,Lyndon LaRouche,C00364091,NA,NA,5.47,NA,0,0,0,0.0,0.0,0,0
1996,r,Bob Dole,C00317743,1928,0.977192093259,58.82,0.00155210876529,366,1,15031,0.0411,0.0883,35667,1331
1996,r,Pat Buchanan,C00361352,43,0.021794221997,20.76,8.98348012795e-06,10,0,63,0.051,0.0688,10531,104
1996,r,Steve Forbes,C00343772,2,0.00101368474404,11.41,1.52989347656e-05,4,0,134,0.006,0.0391,4055,65
1996,r,Alan Keyes,C00452532,0,0.0,3.08,1.1891471305e-05,7,0,56,0.0454,0.0707,1026,25
1996,r,Richard Lugar,C00301333,0,0.0,0.83,0.00481456515097,59,5490,8524,0.0291,0.0512,10531,104
1996,r,Phil Gramm,C00299917,0,0.0,0.47,0.0138067750972,174,15322,23891,0.0349,0.0912,15860,119
1996,r,Robert K. Dornan,C00301465,0,0.0,0.28,6.6340370732e-05,2,100,120,0.0387,0.079,1167,4
1996,r,Morry Taylor,C00302216,0,0.0,0.14,6.50460703174e-05,2,31,501,0.0032,0.0068,28,1
2000,d,Al Gore,C00360982,3007,0.852082742987,75.37,0.000131149146592,24,3,1764,0.0008,0.056,10941,143
2000,d,Bill Bradley,C00341818,522,0.147917257013,20.96,0.014902661821,12,32169,32713,0.0008,0.056,30980,5
2000,d,Lyndon LaRouche,C00364091,0,0.0,1.91,NA,0,0,0,0.0,0.0,0,0
2000,r,George W. Bush,C00404343,1496,0.842816901408,62.0,0.00491852253565,479,1,27935,0.0408,0.1124,59866,1488
2000,r,Alan Keyes,C00452532,22,0.0123943661972,5.08,9.48317907466e-07,2,0,4,0.0003,0.006,8707,18
2000,r,John McCain,C00430470,244,0.137464788732,31.23,0.000304152116739,125,0,5606,0.0671,0.1541,12498,60
2000,r,Steve Forbes,C00343772,10,0.0056338028169,0.89,0.00153757968925,7,3892,5039,0.0184,0.0743,5387,45
2000,r,Gary Bauer,C00342774,3,0.00169014084507,0.31,0.00267918213206,8,5683,6609,0.0081,0.0474,8707,18
2000,r,Orrin Hatch,C00346783,0,0.0,0.08,0.000846562514956,69,1673,7403,0.0594,0.1523,5349,77
2000,r,Lamar Alexander,C00342220,0,0.0,0.05,0.00118536866502,26,2671,4778,0.0376,0.1465,6132,40
2004,d,John Kerry,C00404160,2573.5,0.751167542323,60.98,0.00015414815566,27,3,3919,0.0391,0.2197,35880,797
2004,d,John Edwards,C00384073,559,0.163164039696,19.42,0.0166378220624,9,13157,14426,0.0128,0.0684,13056,17
2004,d,Howard Dean,C00378125,167.5,0.0488908347928,5.55,0.0350303389362,30,29958,33416,0.0129,0.2097,28089,7
2004,d,Wesley Clark,C00390898,60,0.0175131348511,3.36,0.00415163747873,28,11460,14161,0.0171,0.2009,10935,4
2004,d,Dennis Kucinich,C00430975,40,0.0116754232341,3.8,6.80778321526e-05,5,0,481,0.0683,0.1105,35880,797
2004,d,Al Sharpton,C00384388,26,0.00758902510216,2.3,0.000134503285048,4,391,1011,0.0691,0.165,2914,18
2004,d,Dick Gephardt,C00384123,0,0.0,0,0.014563279514,128,11789,19839,0.0339,0.2178,11618,47
2004,d,Joe Lieberman,C00384297,0,0.0,0,0.00540298873916,89,12716,18389,0.0209,0.1994,18555,80
2004,r,George W. Bush,C00404343,2508,1.0,98.1,0.00928190093889,670,2,47831,NA,NA,53253,1458
2008,d,Barack Obama,C00431445,2285.5,0.534870114674,47.12,0.0168763748802,41,59503,64268,0.0377,0.2098,55430,27
2008,d,Hilary Clinton,C00431569,1973,0.461736484905,48.26,0.0139857084307,249,53900,85983,0.0561,0.2317,46285,35
2008,d,John Edwards,C00431205,14.5,0.00339340042125,2.68,0.00405618451246,21,19730,30922,0.0583,0.244,55575,205
2008,d,Dennis Kucinich,C00430975,0,0.0,0.28,0.000452829902995,12,1691,6364,0.0749,0.197,5883,50
2008,d,Bill Richardson,C00431577,0,0.0,0.28,0.00687765681132,82,14387,34257,0.0684,0.2908,16779,65
2008,d,Joe Biden,C00431916,0,0.0,0.22,0.00131272974038,44,6285,11997,0.0855,0.3166,55575,205
2008,d,Mike Gravel,C00423202,0,0.0,0.11,7.04643532222e-05,3,275,1028,0.0402,0.0464,8481,81
2008,d,Chris Dodd,C00431379,0,0.0,0.09,0.00145381139771,146,6002,19720,0.0726,0.251,55575,205
2008,r,John McCain,C00430470,1575,0.724804417855,46.38,0.00649070929217,149,21761,37631,0.0409,0.2058,55575,205
2008,r,Mitt Romney,C00431171,271,0.124712379199,22.46,0.00932341427947,133,35342,66323,0.0273,0.1985,32077,25
2008,r,Mike Huckabee,C00431809,278,0.127933732168,20.43,0.00241120565297,25,5787,8742,0.0313,0.0988,6263,28
2008,r,Ron Paul,C00495820,35,0.0161067648412,5.55,0.00292533288961,16,11,494,0.0089,0.0727,15758,53
2008,r,Fred Thompson,C00438507,11,0.00506212609296,1.39,0.0041883779512,47,12244,19822,0.0399,0.1891,16130,73
2008,r,Rudy Giuliani,C00430512,0,0.0,0.28,0.00985047772319,133,35020,52156,0.0393,0.2148,30601,36
